Id,Prediction
1,3
2,3
3,3
4,3
5,2
6,2
7,2
8,1
9,3
10,3
11,1
12,1
13,2
14,2
15,0
16,3
17,3
18,1
19,3
20,2
21,2
22,1
23,2
24,1
25,0
26,1
27,0
28,3
29,2
30,1
31,0
32,1
33,1
34,1
35,1
36,1
37,3
38,1
39,1
40,1
41,0
42,2
43,3
44,1
45,0
46,1
47,1
48,2
49,2
50,0
51,3
52,2
53,1
54,0
55,1
56,3
57,1
58,2
59,1
60,3
61,3
62,3
63,2
64,3
65,1
66,1
67,3
68,3
69,3
70,0
71,3
72,1
73,1
74,1
75,3
76,1
77,3
78,3
79,2
80,2
81,2
82,1
83,1
84,1
85,1
86,3
87,3
88,1
89,3
90,0
91,2
92,1
93,3
94,2
95,2
96,1
97,2
98,3
99,3
100,1
101,3
102,3
103,1
104,1
105,3
106,1
107,1
108,1
109,1
110,1
111,2
112,3
113,1
114,1
115,1
116,1
117,3
118,1
119,3
120,2
121,1
122,3
123,2
124,3
125,2
126,3
127,2
128,3
129,1
130,3
131,2
132,3
133,2
134,1
135,1
136,3
137,3
138,1
139,0
140,2
141,1
142,3
143,0
144,2
145,2
146,3
147,1
148,3
149,3
150,2
151,0
152,2
153,1
154,3
155,3
156,3
157,3
158,0
159,2
160,2
161,3
162,2
163,3
164,1
165,2
166,3
167,3
168,2
169,1
170,0
171,1
172,1
173,2
174,1
175,1
176,3
177,1
178,2
179,1
180,3
181,1
182,0
183,1
184,3
185,2
186,3
187,1
188,3
189,3
190,3
191,2
192,1
193,3
194,3
195,3
196,2
197,2
198,1
199,1
200,1
201,2
202,3
203,3
204,1
205,1
206,1
207,3
208,2
209,2
210,1
211,1
212,3
213,3
214,1
215,1
216,3
217,1
218,3
219,1
220,3
221,3
222,3
223,1
224,3
225,1
226,3
227,3
228,1
229,1
230,3
231,2
232,0
233,3
234,1
235,2
236,3
237,1
238,3
239,1
240,3
241,2
242,3
243,1
244,3
245,1
246,2
247,1
248,3
249,1
250,1
251,3
252,1
253,1
254,1
255,3
256,0
257,3
258,3
259,3
260,1
261,1
262,0
263,3
264,3
265,1
266,3
267,1
268,1
269,1
270,1
271,3
272,3
273,1
274,0
275,3
276,3
277,3
278,3
279,0
280,2
281,3
282,3
283,3
284,1
285,1
286,1
287,2
288,3
289,1
290,3
291,3
292,3
293,1
294,1
295,3
296,1
297,0
298,3
299,2
300,1
301,1
302,2
303,3
304,0
305,3
306,3
307,2
308,2
309,1
310,1
311,3
312,1
313,2
314,3
315,3
316,1
317,2
318,1
319,1
320,3
321,1
322,2
323,3
324,1
325,3
326,1
327,2
328,2
329,1
330,3
331,2
332,3
333,1
334,0
335,1
336,3
337,1
338,2
339,1
340,1
341,1
342,2
343,1
344,0
345,1
346,0
347,2
348,2
349,3
350,1
351,0
352,1
353,1
354,1
355,2
356,2
357,3
358,3
359,3
360,3
361,1
362,3
363,0
364,3
365,1
366,3
367,0
368,3
369,3
370,3
371,3
372,3
373,3
374,1
375,2
376,3
377,1
378,0
379,1
380,2
381,1
382,3
383,3
384,1
385,3
386,2
387,3
388,3
389,1
390,1
391,3
392,3
393,2
394,2
395,3
396,1
397,2
398,1
399,1
400,1
401,3
402,2
403,3
404,2
405,3
406,1
407,3
408,3
409,1
410,1
411,2
412,0
413,3
414,1
415,3
416,1
417,0
418,1
419,2
420,3
421,3
422,2
423,2
424,1
425,3
426,2
427,0
428,2
429,1
430,3
431,3
432,2
433,3
434,1
435,1
436,3
437,3
438,1
439,2
440,1
441,3
442,1
443,0
444,3
445,1
446,3
447,2
448,1
449,3
450,1
451,3
452,2
453,2
454,0
455,1
456,3
457,3
458,1
459,2
460,3
461,1
462,1
463,3
464,2
465,0
466,3
467,3
468,3
469,1
470,3
471,2
472,1
473,3
474,3
475,3
476,1
477,3
478,3
479,0
480,1
481,1
482,0
483,3
484,3
485,3
486,1
487,3
488,2
489,0
490,3
491,3
492,0
493,3
494,1
495,0
496,3
497,2
498,3
499,1
500,1
501,1
502,2
503,1
504,3
505,1
506,1
507,1
508,3
509,3
510,3
511,3
512,3
513,1
514,1
515,3
516,3
517,3
518,0
519,1
520,1
521,3
522,1
523,3
524,0
525,3
526,3
527,3
528,1
529,3
530,2
531,3
532,0
533,1
534,3
535,3
536,0
537,2
538,1
539,3
540,3
541,1
542,2
543,1
544,2
545,1
546,3
547,1
548,2
549,0
550,3
551,1
552,3
553,1
554,2
555,2
556,3
557,1
558,3
559,0
560,3
561,3
562,3
563,3
564,0
565,3
566,1
567,2
568,0
569,1
570,1
571,2
572,1
573,1
574,1
575,2
576,1
577,2
578,2
579,1
580,1
581,2
582,1
583,1
584,2
585,1
586,1
587,2
588,3
589,2
590,0
591,3
592,3
593,3
594,3
595,1
596,3
597,2
598,2
599,1
600,1
601,1
602,2
603,3
604,3
605,2
606,3
607,1
608,2
609,1
610,3
611,1
612,2
613,3
614,2
615,3
616,2
617,2
618,2
619,1
620,3
621,2
622,1
623,3
624,2
625,0
626,3
627,3
628,3
629,1
630,3
631,3
632,1
633,3
634,0
635,3
636,3
637,1
638,1
639,3
640,3
641,1
642,2
643,3
644,3
645,1
646,3
647,3
648,1
649,3
650,0
651,3
652,3
653,1
654,1
655,0
656,2
657,2
658,1
659,1
660,1
661,1
662,3
663,3
664,2
665,1
666,1
667,3
668,0
669,3
670,3
671,0
672,0
673,3
674,3
675,3
676,3
677,1
678,2
679,3
680,3
681,1
682,3
683,2
