Id,Prediction
1,3
2,3
3,3
4,3
5,2
6,3
7,2
8,2
9,3
10,3
11,3
12,1
13,3
14,2
15,3
16,3
17,3
18,2
19,3
20,2
21,2
22,1
23,2
24,2
25,3
26,3
27,3
28,3
29,2
30,1
31,2
32,1
33,1
34,1
35,1
36,2
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,1
45,0
46,2
47,2
48,3
49,1
50,3
51,3
52,1
53,3
54,3
55,1
56,3
57,2
58,2
59,3
60,2
61,3
62,3
63,3
64,3
65,2
66,3
67,3
68,3
69,3
70,3
71,3
72,1
73,3
74,2
75,3
76,2
77,2
78,3
79,2
80,3
81,2
82,1
83,1
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,2
92,1
93,3
94,2
95,2
96,3
97,2
98,3
99,3
100,1
101,3
102,3
103,2
104,3
105,3
106,2
107,2
108,1
109,1
110,2
111,2
112,3
113,2
114,1
115,3
116,1
117,3
118,2
119,3
120,2
121,3
122,3
123,2
124,3
125,2
126,3
127,2
128,3
129,2
130,3
131,3
132,3
133,3
134,1
135,2
136,3
137,3
138,2
139,0
140,3
141,2
142,3
143,3
144,3
145,2
146,2
147,0
148,3
149,3
150,2
151,2
152,3
153,3
154,3
155,3
156,3
157,2
158,2
159,2
160,2
161,3
162,2
163,3
164,2
165,2
166,3
167,2
168,2
169,1
170,3
171,3
172,1
173,2
174,3
175,1
176,3
177,1
178,2
179,2
180,3
181,1
182,3
183,1
184,3
185,3
186,3
187,2
188,2
189,3
190,3
191,2
192,1
193,3
194,3
195,3
196,2
197,2
198,1
199,1
200,3
201,2
202,3
203,3
204,1
205,2
206,3
207,3
208,1
209,2
210,1
211,3
212,3
213,3
214,1
215,1
216,3
217,2
218,3
219,1
220,2
221,3
222,3
223,2
224,2
225,1
226,3
227,3
228,2
229,2
230,3
231,2
232,3
233,3
234,2
235,3
236,3
237,1
238,3
239,1
240,3
241,2
242,3
243,1
244,3
245,1
246,3
247,2
248,3
249,1
250,3
251,2
252,1
253,3
254,1
255,3
256,1
257,3
258,2
259,3
260,3
261,3
262,3
263,2
264,2
265,1
266,3
267,2
268,1
269,3
270,3
271,0
272,2
273,1
274,3
275,3
276,3
277,3
278,3
279,0
280,2
281,3
282,3
283,3
284,1
285,3
286,3
287,2
288,3
289,1
290,2
291,3
292,3
293,1
294,1
295,1
296,1
297,2
298,3
299,2
300,3
301,1
302,2
303,3
304,3
305,3
306,3
307,2
308,2
309,3
310,3
311,3
312,1
313,2
314,3
315,3
316,2
317,2
318,2
319,1
320,3
321,1
322,2
323,3
324,1
325,3
326,0
327,2
328,2
329,3
330,3
331,2
332,2
333,2
334,2
335,1
336,3
337,1
338,2
339,1
340,1
341,2
342,3
343,2
344,3
345,1
346,3
347,2
348,2
349,3
350,3
351,3
352,1
353,1
354,2
355,2
356,1
357,3
358,3
359,2
360,3
361,3
362,3
363,0
364,3
365,2
366,3
367,0
368,3
369,3
370,3
371,2
372,3
373,3
374,2
375,2
376,3
377,2
378,3
379,3
380,2
381,3
382,3
383,3
384,1
385,3
386,1
387,3
388,3
389,2
390,3
391,3
392,3
393,3
394,2
395,3
396,3
397,2
398,1
399,2
400,1
401,3
402,2
403,3
404,2
405,3
406,1
407,3
408,3
409,1
410,3
411,3
412,3
413,3
414,1
415,3
416,2
417,0
418,1
419,2
420,2
421,3
422,2
423,2
424,3
425,3
426,2
427,1
428,2
429,3
430,3
431,3
432,2
433,3
434,3
435,1
436,3
437,3
438,2
439,2
440,2
441,3
442,1
443,3
444,3
445,1
446,3
447,2
448,3
449,3
450,1
451,3
452,2
453,3
454,3
455,3
456,3
457,3
458,2
459,3
460,3
461,2
462,3
463,2
464,2
465,3
466,3
467,3
468,2
469,2
470,2
471,2
472,1
473,3
474,3
475,3
476,3
477,3
478,3
479,2
480,1
481,2
482,3
483,3
484,2
485,3
486,3
487,3
488,2
489,2
490,3
491,3
492,1
493,3
494,2
495,3
496,2
497,2
498,3
499,3
500,3
501,1
502,2
503,2
504,3
505,1
506,1
507,1
508,3
509,2
510,3
511,3
512,3
513,1
514,3
515,2
516,3
517,3
518,1
519,1
520,1
521,3
522,2
523,3
524,2
525,3
526,3
527,3
528,2
529,3
530,2
531,3
532,0
533,1
534,3
535,3
536,1
537,2
538,1
539,3
540,3
541,1
542,2
543,1
544,2
545,1
546,3
547,2
548,2
549,2
550,3
551,1
552,3
553,3
554,2
555,2
556,3
557,1
558,3
559,3
560,3
561,3
562,3
563,2
564,2
565,3
566,2
567,2
568,3
569,2
570,2
571,3
572,1
573,3
574,2
575,2
576,2
577,2
578,2
579,1
580,1
581,2
582,1
583,3
584,2
585,3
586,0
587,2
588,2
589,1
590,0
591,1
592,2
593,3
594,3
595,1
596,3
597,2
598,2
599,1
600,2
601,1
602,2
603,3
604,3
605,2
606,3
607,1
608,2
609,3
610,3
611,1
612,2
613,3
614,2
615,3
616,2
617,2
618,2
619,2
620,3
621,3
622,1
623,3
624,2
625,3
626,3
627,3
628,2
629,2
630,3
631,3
632,2
633,3
634,2
635,3
636,3
637,2
638,2
639,3
640,3
641,3
642,2
643,3
644,3
645,1
646,3
647,3
648,2
649,3
650,2
651,3
652,3
653,2
654,2
655,1
656,2
657,3
658,2
659,2
660,2
661,2
662,3
663,3
664,2
665,2
666,2
667,3
668,1
669,3
670,3
671,2
672,0
673,3
674,3
675,3
676,3
677,1
678,3
679,3
680,3
681,1
682,3
683,2
