Id,Prediction
1,2
2,3
3,2
4,3
5,2
6,2
7,2
8,1
9,3
10,3
11,1
12,3
13,2
14,3
15,2
16,3
17,3
18,1
19,3
20,1
21,2
22,2
23,1
24,1
25,0
26,1
27,3
28,3
29,1
30,1
31,3
32,1
33,1
34,2
35,1
36,2
37,3
38,3
39,1
40,1
41,0
42,3
43,3
44,1
45,3
46,1
47,2
48,3
49,1
50,1
51,3
52,3
53,2
54,1
55,2
56,3
57,3
58,2
59,1
60,2
61,3
62,3
63,3
64,3
65,1
66,2
67,3
68,1
69,3
70,2
71,3
72,1
73,1
74,1
75,3
76,2
77,3
78,3
79,2
80,2
81,2
82,1
83,1
84,1
85,2
86,3
87,3
88,3
89,2
90,3
91,2
92,0
93,3
94,2
95,3
96,3
97,2
98,3
99,3
100,1
101,3
102,3
103,2
104,3
105,3
106,3
107,2
108,1
109,1
110,3
111,2
112,2
113,2
114,1
115,2
116,1
117,3
118,1
119,1
120,2
121,0
122,3
123,2
124,3
125,2
126,1
127,2
128,3
129,2
130,3
131,3
132,3
133,3
134,0
135,2
136,3
137,3
138,1
139,0
140,2
141,2
142,0
143,3
144,3
145,2
146,2
147,1
148,3
149,3
150,2
151,2
152,3
153,3
154,3
155,2
156,3
157,0
158,3
159,2
160,2
161,3
162,3
163,3
164,1
165,3
166,3
167,2
168,2
169,1
170,1
171,1
172,1
173,2
174,0
175,1
176,3
177,3
178,2
179,2
180,3
181,2
182,1
183,1
184,1
185,3
186,3
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,3
196,3
197,3
198,1
199,1
200,3
201,1
202,3
203,3
204,1
205,2
206,3
207,0
208,1
209,1
210,1
211,1
212,3
213,3
214,1
215,2
216,3
217,2
218,2
219,1
220,3
221,3
222,3
223,3
224,1
225,2
226,3
227,3
228,3
229,3
230,3
231,2
232,2
233,3
234,3
235,3
236,2
237,3
238,3
239,1
240,3
241,2
242,1
243,1
244,3
245,1
246,3
247,2
248,3
249,1
250,3
251,2
252,1
253,3
254,2
255,3
256,3
257,3
258,1
259,2
260,2
261,0
262,3
263,1
264,2
265,2
266,2
267,2
268,1
269,3
270,3
271,0
272,2
273,1
274,2
275,3
276,3
277,3
278,3
279,1
280,2
281,3
282,3
283,3
284,1
285,2
286,2
287,2
288,3
289,3
290,2
291,3
292,3
293,1
294,3
295,1
296,1
297,2
298,2
299,2
300,2
301,1
302,2
303,3
304,3
305,3
306,1
307,2
308,2
309,3
310,2
311,3
312,1
313,3
314,2
315,3
316,2
317,3
318,2
319,1
320,1
321,3
322,2
323,3
324,1
325,3
326,1
327,2
328,2
329,2
330,1
331,2
332,3
333,1
334,2
335,1
336,3
337,1
338,3
339,2
340,1
341,2
342,1
343,3
344,1
345,1
346,1
347,2
348,2
349,3
350,0
351,3
352,1
353,3
354,2
355,3
356,2
357,3
358,3
359,3
360,1
361,3
362,2
363,2
364,1
365,1
366,2
367,2
368,3
369,3
370,3
371,2
372,1
373,3
374,2
375,3
376,3
377,2
378,3
379,3
380,2
381,3
382,2
383,3
384,1
385,2
386,2
387,1
388,3
389,1
390,1
391,3
392,3
393,3
394,1
395,3
396,2
397,1
398,2
399,1
400,3
401,3
402,3
403,0
404,2
405,3
406,1
407,1
408,3
409,1
410,2
411,3
412,2
413,3
414,1
415,2
416,3
417,0
418,1
419,3
420,2
421,0
422,2
423,2
424,2
425,3
426,2
427,1
428,2
429,1
430,3
431,3
432,2
433,0
434,1
435,3
436,3
437,3
438,2
439,1
440,1
441,3
442,1
443,2
444,2
445,2
446,3
447,2
448,0
449,3
450,1
451,3
452,3
453,1
454,3
455,1
456,3
457,2
458,2
459,3
460,2
461,1
462,1
463,2
464,3
465,3
466,3
467,1
468,3
469,2
470,2
471,2
472,2
473,2
474,2
475,3
476,1
477,3
478,3
479,3
480,1
481,3
482,3
483,3
484,2
485,2
486,3
487,3
488,2
489,2
490,3
491,3
492,3
493,3
494,2
495,3
496,3
497,3
498,3
499,2
500,2
501,1
502,2
503,1
504,3
505,1
506,3
507,2
508,3
509,2
510,3
511,3
512,3
513,1
514,3
515,2
516,3
517,3
518,3
519,3
520,0
521,3
522,3
523,1
524,3
525,3
526,2
527,3
528,1
529,3
530,2
531,3
532,2
533,1
534,3
535,3
536,1
537,3
538,1
539,3
540,3
541,3
542,3
543,0
544,2
545,3
546,3
547,1
548,2
549,1
550,3
551,1
552,3
553,3
554,1
555,1
556,3
557,3
558,1
559,3
560,3
561,3
562,0
563,3
564,1
565,3
566,2
567,1
568,3
569,1
570,2
571,3
572,1
573,3
574,2
575,2
576,1
577,2
578,2
579,0
580,2
581,2
582,1
583,1
584,3
585,2
586,1
587,1
588,2
589,1
590,1
591,3
592,2
593,3
594,3
595,1
596,3
597,2
598,2
599,1
600,1
601,1
602,3
603,1
604,3
605,2
606,1
607,2
608,2
609,3
610,3
611,3
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,2
620,3
621,2
622,2
623,3
624,2
625,1
626,3
627,3
628,1
629,1
630,3
631,3
632,1
633,3
634,0
635,3
636,3
637,1
638,2
639,2
640,3
641,1
642,3
643,2
644,2
645,1
646,3
647,3
648,2
649,3
650,2
651,3
652,3
653,2
654,2
655,1
656,2
657,3
658,3
659,2
660,2
661,1
662,3
663,2
664,2
665,1
666,3
667,2
668,1
669,3
670,3
671,0
672,3
673,1
674,2
675,3
676,3
677,1
678,2
679,3
680,3
681,1
682,2
683,2
