Id,Prediction
1,3
2,2
3,3
4,3
5,2
6,2
7,2
8,2
9,3
10,3
11,1
12,2
13,2
14,3
15,0
16,3
17,3
18,2
19,3
20,2
21,2
22,2
23,2
24,1
25,0
26,2
27,2
28,3
29,2
30,1
31,2
32,2
33,1
34,2
35,1
36,3
37,3
38,3
39,2
40,1
41,0
42,3
43,3
44,3
45,3
46,1
47,2
48,3
49,1
50,3
51,2
52,3
53,2
54,1
55,1
56,0
57,3
58,2
59,2
60,2
61,2
62,2
63,2
64,3
65,1
66,3
67,3
68,0
69,3
70,2
71,3
72,1
73,2
74,1
75,3
76,2
77,3
78,3
79,2
80,3
81,2
82,1
83,2
84,2
85,2
86,3
87,3
88,3
89,2
90,3
91,2
92,0
93,3
94,2
95,3
96,3
97,2
98,2
99,3
100,1
101,2
102,3
103,1
104,3
105,3
106,3
107,2
108,1
109,1
110,3
111,2
112,1
113,2
114,1
115,1
116,1
117,2
118,2
119,1
120,1
121,2
122,3
123,2
124,3
125,2
126,1
127,2
128,3
129,2
130,3
131,3
132,3
133,3
134,2
135,2
136,2
137,3
138,1
139,0
140,2
141,2
142,0
143,3
144,3
145,2
146,2
147,1
148,3
149,0
150,2
151,3
152,3
153,3
154,2
155,2
156,3
157,1
158,2
159,1
160,2
161,3
162,2
163,3
164,1
165,3
166,3
167,1
168,2
169,1
170,0
171,3
172,1
173,2
174,1
175,1
176,3
177,1
178,2
179,2
180,3
181,1
182,1
183,1
184,3
185,3
186,3
187,1
188,2
189,2
190,3
191,2
192,1
193,3
194,2
195,1
196,3
197,3
198,1
199,1
200,2
201,1
202,2
203,3
204,1
205,2
206,3
207,3
208,1
209,2
210,1
211,1
212,2
213,3
214,1
215,2
216,3
217,1
218,3
219,1
220,2
221,3
222,3
223,2
224,1
225,2
226,3
227,3
228,3
229,2
230,3
231,2
232,3
233,3
234,3
235,3
236,2
237,3
238,3
239,1
240,3
241,2
242,1
243,1
244,3
245,1
246,3
247,2
248,3
249,1
250,1
251,2
252,1
253,3
254,1
255,3
256,1
257,3
258,1
259,2
260,2
261,2
262,0
263,3
264,2
265,3
266,2
267,2
268,1
269,3
270,3
271,0
272,2
273,3
274,2
275,3
276,3
277,3
278,3
279,3
280,2
281,3
282,2
283,3
284,1
285,2
286,3
287,2
288,3
289,1
290,2
291,2
292,3
293,1
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,1
302,2
303,3
304,1
305,3
306,3
307,2
308,2
309,3
310,2
311,3
312,1
313,2
314,3
315,3
316,1
317,2
318,3
319,2
320,1
321,2
322,2
323,3
324,1
325,2
326,0
327,2
328,1
329,2
330,1
331,2
332,3
333,1
334,2
335,2
336,3
337,1
338,3
339,3
340,3
341,1
342,2
343,2
344,2
345,1
346,1
347,2
348,1
349,2
350,3
351,2
352,1
353,2
354,2
355,2
356,1
357,2
358,3
359,1
360,3
361,3
362,2
363,3
364,0
365,2
366,1
367,0
368,3
369,3
370,2
371,3
372,2
373,3
374,3
375,3
376,3
377,2
378,1
379,3
380,2
381,3
382,2
383,2
384,1
385,3
386,2
387,3
388,3
389,1
390,1
391,3
392,3
393,2
394,2
395,3
396,1
397,2
398,2
399,2
400,1
401,3
402,2
403,3
404,2
405,3
406,1
407,0
408,3
409,1
410,3
411,3
412,3
413,3
414,1
415,3
416,2
417,0
418,1
419,3
420,2
421,1
422,2
423,2
424,2
425,3
426,2
427,1
428,3
429,3
430,3
431,0
432,2
433,3
434,2
435,1
436,3
437,3
438,2
439,1
440,1
441,3
442,1
443,2
444,3
445,1
446,3
447,2
448,0
449,3
450,1
451,3
452,2
453,1
454,2
455,1
456,3
457,2
458,2
459,2
460,3
461,3
462,1
463,2
464,3
465,3
466,3
467,3
468,3
469,1
470,2
471,2
472,2
473,3
474,2
475,3
476,3
477,3
478,3
479,0
480,1
481,2
482,3
483,3
484,2
485,2
486,2
487,3
488,2
489,1
490,3
491,3
492,1
493,3
494,2
495,1
496,3
497,2
498,3
499,2
500,1
501,1
502,2
503,1
504,3
505,1
506,3
507,1
508,2
509,2
510,3
511,3
512,2
513,1
514,3
515,2
516,3
517,2
518,2
519,2
520,0
521,0
522,2
523,3
524,2
525,3
526,3
527,3
528,1
529,3
530,2
531,3
532,1
533,1
534,3
535,3
536,3
537,0
538,1
539,3
540,2
541,3
542,1
543,3
544,2
545,3
546,3
547,2
548,0
549,1
550,3
551,2
552,3
553,3
554,1
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,2
563,2
564,1
565,3
566,2
567,1
568,3
569,2
570,2
571,1
572,1
573,3
574,2
575,2
576,2
577,1
578,2
579,2
580,1
581,2
582,1
583,1
584,3
585,3
586,1
587,2
588,2
589,2
590,1
591,2
592,2
593,3
594,2
595,1
596,3
597,2
598,2
599,1
600,0
601,1
602,3
603,1
604,3
605,2
606,1
607,2
608,3
609,2
610,3
611,1
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,2
620,3
621,3
622,2
623,3
624,2
625,1
626,3
627,3
628,1
629,1
630,3
631,3
632,2
633,3
634,1
635,3
636,3
637,1
638,1
639,3
640,3
641,1
642,2
643,2
644,2
645,1
646,3
647,3
648,2
649,3
650,2
651,3
652,3
653,1
654,2
655,1
656,2
657,3
658,1
659,2
660,1
661,1
662,3
663,3
664,2
665,3
666,1
667,3
668,1
669,3
670,3
671,2
672,3
673,1
674,2
675,3
676,3
677,2
678,3
679,3
680,3
681,1
682,3
683,2
