"","x"
"1","1"
"2","3"
"3","3"
"4","3"
"5","2"
"6","1"
"7","2"
"8","1"
"9","3"
"10","3"
"11","1"
"12","1"
"13","2"
"14","2"
"15","1"
"16","3"
"17","1"
"18","2"
"19","1"
"20","1"
"21","0"
"22","1"
"23","1"
"24","1"
"25","2"
"26","1"
"27","2"
"28","3"
"29","2"
"30","1"
"31","2"
"32","0"
"33","1"
"34","1"
"35","1"
"36","3"
"37","2"
"38","1"
"39","1"
"40","1"
"41","0"
"42","1"
"43","3"
"44","1"
"45","1"
"46","2"
"47","2"
"48","2"
"49","2"
"50","0"
"51","3"
"52","0"
"53","3"
"54","1"
"55","1"
"56","3"
"57","1"
"58","1"
"59","1"
"60","3"
"61","3"
"62","3"
"63","2"
"64","3"
"65","1"
"66","3"
"67","2"
"68","3"
"69","3"
"70","1"
"71","2"
"72","1"
"73","3"
"74","2"
"75","2"
"76","1"
"77","2"
"78","3"
"79","2"
"80","2"
"81","2"
"82","1"
"83","1"
"84","1"
"85","1"
"86","3"
"87","3"
"88","2"
"89","0"
"90","3"
"91","3"
"92","1"
"93","3"
"94","1"
"95","0"
"96","1"
"97","2"
"98","3"
"99","3"
"100","1"
"101","3"
"102","3"
"103","2"
"104","2"
"105","3"
"106","1"
"107","2"
"108","1"
"109","1"
"110","2"
"111","2"
"112","1"
"113","1"
"114","1"
"115","2"
"116","1"
"117","3"
"118","1"
"119","3"
"120","1"
"121","3"
"122","3"
"123","2"
"124","1"
"125","2"
"126","3"
"127","1"
"128","3"
"129","2"
"130","3"
"131","2"
"132","3"
"133","2"
"134","0"
"135","2"
"136","3"
"137","3"
"138","2"
"139","0"
"140","1"
"141","2"
"142","0"
"143","0"
"144","2"
"145","2"
"146","2"
"147","1"
"148","3"
"149","3"
"150","2"
"151","1"
"152","1"
"153","1"
"154","3"
"155","2"
"156","3"
"157","3"
"158","0"
"159","2"
"160","2"
"161","3"
"162","2"
"163","3"
"164","2"
"165","2"
"166","3"
"167","1"
"168","1"
"169","1"
"170","2"
"171","1"
"172","1"
"173","2"
"174","1"
"175","1"
"176","2"
"177","1"
"178","2"
"179","2"
"180","2"
"181","1"
"182","0"
"183","1"
"184","3"
"185","2"
"186","3"
"187","2"
"188","3"
"189","3"
"190","3"
"191","1"
