Id,Prediction
1,1
2,2
3,2
4,2
5,1
6,1
7,0
8,1
9,2
10,2
11,0
12,0
13,0
14,1
15,1
16,2
17,2
18,1
19,2
20,1
21,2
22,0
23,1
24,0
25,-1
26,0
27,1
28,2
29,1
30,0
31,1
32,2
33,0
34,1
35,0
36,1
37,2
38,0
39,-1
40,0
41,0
42,1
43,2
44,-1
45,1
46,0
47,1
48,1
49,1
50,2
51,2
52,-1
53,2
54,2
55,2
56,2
57,2
58,1
59,0
60,0
61,2
62,1
63,2
64,1
65,-1
66,1
67,2
68,2
69,2
70,1
71,1
72,0
73,2
74,0
75,2
76,-1
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,0
85,1
86,-1
87,2
88,1
89,0
90,-1
91,1
92,0
93,2
94,1
95,1
96,2
97,1
98,1
99,2
100,0
101,1
102,2
103,2
104,1
105,0
106,1
107,0
108,2
109,0
110,1
111,1
112,2
113,0
114,0
115,2
116,0
117,2
118,0
119,0
120,1
121,2
122,2
123,1
124,2
125,1
126,2
127,1
128,2
129,1
130,-1
131,2
132,1
133,1
134,0
135,1
136,2
137,2
138,1
139,-1
140,2
141,1
142,-1
143,1
144,1
145,1
146,0
147,0
148,2
149,2
150,1
151,-1
152,2
153,0
154,2
155,1
156,2
157,1
158,0
159,1
160,1
161,2
162,0
163,2
164,0
165,1
166,2
167,2
168,0
169,0
170,2
171,0
172,2
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,2
181,0
182,2
183,0
184,2
185,1
186,2
187,1
188,1
189,2
190,2
191,1
192,2
193,-1
194,2
195,2
196,0
197,1
198,0
199,0
200,2
201,0
202,2
203,2
204,0
205,0
206,1
207,1
208,1
209,1
210,0
211,2
212,2
213,2
214,-1
215,0
216,2
217,0
218,2
219,0
220,1
221,2
222,2
223,0
224,1
225,0
226,2
227,2
228,0
229,1
230,2
231,1
232,2
233,2
234,0
235,1
236,2
237,0
238,2
239,0
240,1
241,1
242,2
243,0
244,2
245,2
246,1
247,1
248,1
249,1
250,-1
251,2
252,0
253,2
254,0
255,2
256,-1
257,2
258,1
259,2
260,0
261,2
262,-1
263,0
264,1
265,0
266,2
267,0
268,1
269,-1
270,2
271,-1
272,-1
273,2
274,1
275,1
276,0
277,2
278,2
279,-1
280,1
281,1
282,2
283,2
284,0
285,1
286,2
287,1
288,2
289,0
290,1
291,2
292,2
293,0
294,0
295,-1
296,0
297,1
298,1
299,1
300,0
301,2
302,1
303,2
304,2
305,2
306,2
307,1
308,1
309,0
310,2
311,2
312,0
313,1
314,2
315,2
316,1
317,1
318,2
319,1
320,1
321,0
322,1
323,0
324,-1
325,2
326,-1
327,1
328,1
329,2
330,1
331,0
332,1
333,1
334,0
335,0
336,2
337,0
338,1
339,0
340,0
341,1
342,1
343,0
344,0
345,1
346,1
347,1
348,1
349,2
350,2
351,-1
352,0
353,0
354,0
355,1
356,0
357,1
358,-1
359,1
360,-1
361,2
362,2
363,-1
364,-1
365,0
366,2
367,-1
368,2
369,2
370,2
371,1
372,2
373,2
374,1
375,1
376,2
377,1
378,2
379,2
380,1
381,-1
382,2
383,2
384,0
385,0
386,0
387,1
388,1
389,1
390,1
391,-1
392,1
393,1
394,1
395,2
396,1
397,1
398,0
399,1
400,2
401,2
402,1
403,2
404,1
405,2
406,0
407,2
408,2
409,0
410,-1
411,2
412,2
413,2
414,0
415,2
416,0
417,-1
418,0
419,2
420,2
421,2
422,1
423,1
424,0
425,2
426,1
427,0
428,1
429,2
430,-1
431,2
432,1
433,2
434,1
435,0
436,2
437,2
438,2
439,2
440,1
441,2
442,0
443,1
444,0
445,0
446,2
447,1
448,0
449,1
450,0
451,2
452,1
453,1
454,1
455,2
456,2
457,1
458,0
459,1
460,2
461,1
462,0
463,1
464,1
465,1
466,2
467,2
468,1
469,0
470,1
471,1
472,-1
473,2
474,2
475,2
476,0
477,2
478,2
479,-1
480,2
481,0
482,-1
483,1
484,2
485,2
486,-1
487,2
488,1
489,1
490,2
491,1
492,2
493,2
494,2
495,0
496,2
497,1
498,1
499,1
500,2
501,0
502,1
503,1
504,2
505,0
506,0
507,0
508,2
509,2
510,2
511,0
512,1
513,0
514,1
515,2
516,2
517,2
518,-1
519,0
520,0
521,2
522,-1
523,2
524,2
525,2
526,2
527,2
528,1
529,2
530,1
531,2
532,1
533,2
534,2
535,2
536,-1
537,1
538,1
539,2
540,2
541,0
542,1
543,0
544,1
545,2
546,2
547,0
548,1
549,0
550,2
551,0
552,0
553,1
554,1
555,1
556,2
557,0
558,2
559,2
560,2
561,1
562,-1
563,1
564,0
565,2
566,-1
567,1
568,1
569,0
570,2
571,1
572,0
573,0
574,0
575,1
576,0
577,1
578,1
579,2
580,0
581,1
582,0
583,2
584,2
585,2
586,0
587,2
588,2
589,0
590,-1
591,1
592,2
593,2
594,2
595,0
596,2
597,1
598,1
599,0
600,2
601,0
602,1
603,2
604,2
605,1
606,2
607,0
608,1
609,1
610,2
611,0
612,1
613,-1
614,1
615,2
616,1
617,1
618,1
619,0
620,2
621,1
622,0
623,2
624,2
625,-1
626,2
627,2
628,2
629,0
630,2
631,2
632,1
633,1
634,-1
635,2
636,1
637,1
638,2
639,1
640,2
641,2
642,1
643,2
644,2
645,0
646,2
647,1
648,2
649,2
650,1
651,2
652,2
653,0
654,0
655,1
656,1
657,2
658,2
659,1
660,0
661,0
662,0
663,2
664,1
665,2
666,1
667,0
668,0
669,1
670,2
671,1
672,0
673,0
674,2
675,2
676,2
677,0
678,2
679,2
680,1
681,1
682,1
683,1
