Id,Prediction
1,1
2,1
3,1
4,1
5,3
6,3
7,3
8,3
9,1
10,1
11,2
12,2
13,2
14,1
15,0
16,1
17,1
18,3
19,1
20,3
21,3
22,2
23,2
24,2
25,0
26,2
27,3
28,1
29,1
30,2
31,0
32,2
33,2
34,3
35,2
36,3
37,1
38,2
39,2
40,2
41,0
42,2
43,3
44,2
45,3
46,3
47,3
48,2
49,2
50,2
51,1
52,3
53,2
54,1
55,2
56,2
57,2
58,3
59,2
60,1
61,1
62,1
63,1
64,1
65,2
66,1
67,1
68,1
69,1
70,2
71,1
72,2
73,1
74,2
75,1
76,2
77,3
78,1
79,3
80,1
81,3
82,2
83,2
84,2
85,2
86,1
87,1
88,3
89,1
90,0
91,3
92,2
93,1
94,3
95,3
96,1
97,3
98,3
99,1
100,2
101,1
102,1
103,2
104,3
105,2
106,2
107,2
108,2
109,2
110,3
111,3
112,1
113,2
114,2
115,2
116,2
117,1
118,2
119,1
120,3
121,2
122,1
123,3
124,1
125,3
126,1
127,3
128,1
129,3
130,1
131,1
132,1
133,3
134,2
135,3
136,1
137,1
138,2
139,0
140,0
141,1
142,1
143,2
144,3
145,3
146,0
147,2
148,1
149,1
150,3
151,0
152,3
153,1
154,1
155,3
156,1
157,0
158,2
159,3
160,3
161,1
162,2
163,1
164,2
165,3
166,1
167,2
168,2
169,2
170,0
171,2
172,2
173,3
174,2
175,2
176,3
177,2
178,3
179,3
180,1
181,2
182,2
183,2
184,1
185,1
186,1
187,2
188,3
189,1
190,1
191,2
192,1
193,1
194,3
195,1
196,3
197,3
198,2
199,2
200,2
201,2
202,1
203,1
204,2
205,2
206,1
207,1
208,2
209,3
210,2
211,2
212,1
213,1
214,2
215,2
216,1
217,3
218,1
219,2
220,1
221,1
222,1
223,2
224,3
225,2
226,0
227,1
228,2
229,3
230,1
231,3
232,0
233,1
234,2
235,3
236,1
237,2
238,3
239,2
240,1
241,3
242,1
243,2
244,1
245,1
246,0
247,3
248,1
249,2
250,3
251,3
252,2
253,2
254,0
255,1
256,0
257,1
258,0
259,1
260,2
261,1
262,0
263,1
264,1
265,2
266,1
267,0
268,2
269,2
270,1
271,2
272,1
273,2
274,0
275,1
276,1
277,1
278,1
279,1
280,3
281,1
282,1
283,1
284,2
285,3
286,1
287,3
288,1
289,2
290,2
291,1
292,1
293,2
294,2
295,2
296,2
297,3
298,2
299,3
300,2
301,2
302,3
303,1
304,1
305,1
306,1
307,3
308,3
309,1
310,2
311,1
312,2
313,2
314,1
315,1
316,3
317,1
318,1
319,2
320,0
321,2
322,1
323,1
324,2
325,1
326,3
327,3
328,3
329,1
330,2
331,2
332,1
333,0
334,2
335,2
336,1
337,2
338,3
339,2
340,0
341,3
342,1
343,2
344,2
345,2
346,3
347,3
348,3
349,1
350,1
351,0
352,2
353,2
354,2
355,3
356,2
357,1
358,1
359,2
360,1
361,2
362,1
363,3
364,1
365,0
366,1
367,0
368,1
369,1
370,1
371,1
372,1
373,1
374,2
375,3
376,1
377,2
378,0
379,3
380,3
381,2
382,1
383,1
384,2
385,1
386,2
387,2
388,2
389,3
390,2
391,1
392,1
393,1
394,3
395,1
396,2
397,3
398,0
399,2
400,2
401,1
402,3
403,1
404,2
405,1
406,2
407,1
408,1
409,2
410,3
411,1
412,1
413,2
414,2
415,1
416,2
417,0
418,2
419,3
420,3
421,1
422,3
423,3
424,2
425,1
426,3
427,2
428,1
429,2
430,1
431,1
432,3
433,1
434,3
435,2
436,1
437,1
438,2
439,2
440,3
441,1
442,2
443,1
444,2
445,2
446,1
447,3
448,1
449,1
450,2
451,1
452,3
453,3
454,3
455,1
456,1
457,3
458,3
459,3
460,1
461,2
462,2
463,1
464,3
465,2
466,1
467,1
468,3
469,2
470,3
471,3
472,2
473,3
474,0
475,1
476,2
477,1
478,1
479,0
480,1
481,2
482,0
483,1
484,3
485,1
486,0
487,1
488,3
489,3
490,1
491,3
492,2
493,1
494,0
495,0
496,3
497,3
498,1
499,3
500,2
501,2
502,3
503,2
504,1
505,2
506,2
507,2
508,2
509,0
510,1
511,1
512,1
513,2
514,2
515,3
516,1
517,3
518,0
519,2
520,2
521,1
522,2
523,1
524,0
525,1
526,1
527,1
528,3
529,1
530,3
531,1
532,0
533,2
534,1
535,1
536,0
537,3
538,2
539,1
540,1
541,2
542,3
543,2
544,3
545,2
546,1
547,3
548,3
549,0
550,1
551,2
552,1
553,1
554,2
555,3
556,1
557,2
558,1
559,3
560,1
561,1
562,2
563,1
564,0
565,3
566,2
567,2
568,3
569,3
570,3
571,1
572,2
573,3
574,2
575,3
576,3
577,3
578,3
579,2
580,2
581,3
582,2
583,2
584,3
585,2
586,2
587,2
588,2
589,2
590,0
591,1
592,1
593,1
594,1
595,0
596,1
597,3
598,3
599,2
600,2
601,2
602,3
603,1
604,1
605,3
606,2
607,2
608,3
609,3
610,1
611,2
612,3
613,1
614,1
615,1
616,3
617,2
618,3
619,2
620,1
621,3
622,2
623,2
624,2
625,0
626,1
627,1
628,1
629,2
630,3
631,1
632,3
633,1
634,2
635,1
636,1
637,2
638,2
639,1
640,3
641,2
642,3
643,1
644,2
645,2
646,1
647,3
648,2
649,1
650,2
651,1
652,1
653,2
654,3
655,2
656,3
657,3
658,2
659,3
660,2
661,2
662,1
663,1
664,3
665,3
666,2
667,1
668,2
669,2
670,1
671,3
672,0
673,3
674,1
675,1
676,2
677,2
678,1
679,1
680,1
681,3
682,1
683,3
