Id,Prediction
1,2
2,3
3,3
4,3
5,2
6,3
7,2
8,3
9,3
10,3
11,1
12,1
13,3
14,2
15,0
16,3
17,3
18,2
19,1
20,1
21,0
22,1
23,2
24,1
25,3
26,0
27,1
28,2
29,3
30,1
31,2
32,1
33,1
34,2
35,1
36,2
37,3
38,0
39,0
40,3
41,0
42,2
43,2
44,1
45,2
46,3
47,1
48,2
49,1
50,1
51,3
52,2
53,3
54,3
55,1
56,3
57,2
58,2
59,1
60,2
61,3
62,3
63,2
64,3
65,1
66,3
67,3
68,3
69,3
70,0
71,2
72,1
73,3
74,3
75,3
76,1
77,2
78,3
79,2
80,3
81,2
82,1
83,3
84,1
85,0
86,3
87,3
88,1
89,3
90,3
91,2
92,1
93,3
94,3
95,2
96,3
97,2
98,3
99,3
100,1
101,3
102,3
103,2
104,2
105,3
106,1
107,0
108,1
109,1
110,2
111,2
112,3
113,2
114,1
115,3
116,1
117,2
118,2
119,3
120,1
121,3
122,3
123,2
124,0
125,2
126,3
127,2
128,3
129,2
130,3
131,3
132,2
133,2
134,1
135,2
136,3
137,3
138,2
139,3
140,0
141,2
142,0
143,0
144,2
145,2
146,3
147,1
148,3
149,3
150,2
151,0
152,3
153,0
154,3
155,2
156,3
157,3
158,0
159,2
160,2
161,3
162,2
163,3
164,1
165,2
166,3
167,2
168,1
169,1
170,3
171,1
172,1
173,2
174,1
175,1
176,2
177,1
178,2
179,3
180,3
181,1
182,0
183,1
184,3
185,3
186,3
187,2
188,2
189,3
190,3
191,3
192,2
193,3
194,2
195,3
196,3
197,2
198,1
199,1
200,3
201,3
202,3
203,3
204,1
205,1
206,3
207,0
208,1
209,2
210,1
211,1
212,3
213,3
214,1
215,1
216,3
217,2
218,3
219,1
220,3
221,3
222,3
223,1
224,2
225,1
226,0
227,3
228,2
229,2
230,3
231,2
232,0
233,3
234,2
235,2
236,3
237,1
238,2
239,2
240,0
241,2
242,3
243,1
244,3
245,1
246,0
247,2
248,3
249,1
250,3
251,2
252,1
253,1
254,0
255,3
256,0
257,3
258,1
259,3
260,3
261,3
262,0
263,2
264,3
265,1
266,1
267,0
268,1
269,3
270,3
271,0
272,0
273,1
274,0
275,3
276,3
277,3
278,3
279,0
280,2
281,3
282,3
283,2
284,1
285,2
286,2
287,2
288,3
289,1
290,2
291,3
292,3
293,1
294,1
295,1
296,1
297,2
298,1
299,2
300,3
301,1
302,2
303,3
304,0
305,3
306,3
307,2
308,2
309,3
310,3
311,2
312,1
313,2
314,3
315,3
316,2
317,2
318,2
319,1
320,3
321,1
322,2
323,3
324,1
325,3
326,2
327,2
328,2
329,3
330,3
331,2
332,2
333,2
334,1
335,1
336,3
337,2
338,2
339,2
340,1
341,2
342,3
343,1
344,3
345,1
346,0
347,2
348,2
349,3
350,3
351,0
352,1
353,3
354,2
355,2
356,1
357,2
358,3
359,2
360,3
361,1
362,3
363,0
364,2
365,1
366,3
367,0
368,3
369,3
370,3
371,2
372,3
373,3
374,2
375,2
376,3
377,2
378,1
379,3
380,2
381,1
382,2
383,3
384,1
385,0
386,1
387,1
388,3
389,2
390,1
391,1
392,3
393,2
394,2
395,3
396,3
397,2
398,0
399,2
400,3
401,3
402,2
403,3
404,2
405,3
406,1
407,3
408,3
409,1
410,1
411,3
412,3
413,3
414,1
415,2
416,2
417,0
418,1
419,3
420,2
421,3
422,2
423,2
424,0
425,3
426,2
427,0
428,1
429,1
430,3
431,3
432,2
433,3
434,2
435,2
436,3
437,3
438,3
439,2
440,2
441,3
442,1
443,3
444,3
445,1
446,3
447,2
448,3
449,3
450,1
451,3
452,2
453,2
454,0
455,3
456,3
457,3
458,2
459,2
460,3
461,0
462,1
463,2
464,2
465,3
466,3
467,3
468,2
469,1
470,2
471,2
472,2
473,3
474,0
475,3
476,1
477,3
478,3
479,3
480,1
481,3
482,0
483,3
484,3
485,3
486,0
487,3
488,2
489,2
490,3
491,2
492,1
493,3
494,3
495,0
496,3
497,2
498,3
499,2
500,1
501,1
502,2
503,2
504,3
505,1
506,1
507,1
508,3
509,2
510,3
511,3
512,3
513,1
514,3
515,3
516,3
517,3
518,1
519,2
520,1
521,3
522,2
523,3
524,2
525,3
526,2
527,3
528,2
529,3
530,3
531,3
532,1
533,1
534,3
535,3
536,1
537,2
538,1
539,3
540,3
541,1
542,2
543,1
544,2
545,1
546,3
547,2
548,2
549,2
550,3
551,1
552,3
553,2
554,1
555,2
556,3
557,1
558,2
559,3
560,3
561,3
562,0
563,3
564,0
565,3
566,2
567,2
568,3
569,1
570,2
571,3
572,1
573,1
574,1
575,2
576,2
577,2
578,2
579,1
580,1
581,2
582,1
583,3
584,2
585,3
586,0
587,1
588,3
589,1
590,0
591,1
592,3
593,3
594,2
595,2
596,3
597,2
598,2
599,1
600,2
601,1
602,2
603,2
604,3
605,2
606,3
607,1
608,2
609,2
610,3
611,1
612,2
613,3
614,3
615,3
616,2
617,2
618,2
619,1
620,0
621,2
622,2
623,3
624,2
625,0
626,3
627,3
628,2
629,2
630,3
631,3
632,1
633,3
634,0
635,1
636,2
637,2
638,2
639,2
640,2
641,1
642,2
643,3
644,2
645,3
646,3
647,1
648,2
649,3
650,2
651,3
652,3
653,2
654,1
655,2
656,2
657,3
658,3
659,2
660,1
661,3
662,3
663,1
664,2
665,1
666,2
667,3
668,1
669,2
670,3
671,2
672,0
673,2
674,0
675,0
676,2
677,0
678,2
679,3
680,2
681,2
682,3
683,2
